resp_id,usid,fixed_set,periodic_set,military_region,province,district,village,hamlet,year,month,resp_num,sex,sex_num,security_score,security_num,question_num,response_code,blacklisted,age_num,mar_num,eth_num
101031201_720105,101031201,720105FB0,0002B,1,01,03,12,01,72,01,05,F,1,B,1,0002,B,0,30,0,1
101031201_720201,101031201,720201MA0,0002A,1,01,03,12,01,72,02,01,M,0,A,0,0002,A,0,20,0,1
101031201_720202,101031201,720202MA0,0002A,1,01,03,12,01,72,02,02,M,0,A,0,0002,A,0,20,0,1
101031201_720203,101031201,720203FA0,0002A,1,01,03,12,01,72,02,03,F,1,A,0,0002,A,0,20,4,1
101031201_720204,101031201,720204FA0,0002A,1,01,03,12,01,72,02,04,F,1,A,0,0002,A,0,20,0,1
101031201_720205,101031201,720205FA0,0002A,1,01,03,12,01,72,02,05,F,1,A,0,0002,A,0,20,2,1
101031202_711001,101031202,711001MB0,0002B,1,01,03,12,02,71,10,01,M,0,B,1,0002,B,0,30,0,1
101031202_711002,101031202,711002MB0,0002B,1,01,03,12,02,71,10,02,M,0,B,1,0002,B,0,30,0,1
101031202_711003,101031202,711003FB0,0002B,1,01,03,12,02,71,10,03,F,1,B,1,0002,B,0,30,0,1
101031202_711004,101031202,711004FB0,0002B,1,01,03,12,02,71,10,04,F,1,B,1,0002,B,0,30,2,1
101031202_711005,101031202,711005MB0,0002B,1,01,03,12,02,71,10,05,M,0,B,1,0002,B,0,30,0,1
101031206_720201,101031206,720201FA0,0002A,1,01,03,12,06,72,02,01,F,1,A,0,0002,A,0,20,0,1
101031206_720202,101031206,720202MA0,0002A,1,01,03,12,06,72,02,02,M,0,A,0,0002,A,0,20,0,1
101031206_720203,101031206,720203MA0,0002A,1,01,03,12,06,72,02,03,M,0,A,0,0002,A,0,20,0,1
101031206_720204,101031206,720204MA0,0002A,1,01,03,12,06,72,02,04,M,0,A,0,0002,A,0,20,2,1
101031206_720205,101031206,720205MA0,0002A,1,01,03,12,06,72,02,05,M,0,A,0,0002,A,0,20,0,1
101031208_711001,101031208,711001MB0,0002B,1,01,03,12,08,71,10,01,M,0,B,1,0002,B,0,30,0,1
101031208_711002,101031208,711002MB0,0002B,1,01,03,12,08,71,10,02,M,0,B,1,0002,B,0,30,0,1
101031208_711003,101031208,711003FB0,0002B,1,01,03,12,08,71,10,03,F,1,B,1,0002,B,0,30,0,1
101031208_711004,101031208,711004FB0,0002B,1,01,03,12,08,71,10,04,F,1,B,1,0002,B,0,30,0,1
101031208_711005,101031208,711005MB0,0002B,1,01,03,12,08,71,10,05,M,0,B,1,0002,B,0,30,0,1
101031403_710401,101031403,710401MB0,0002B,1,01,03,14,03,71,04,01,M,0,B,1,0002,B,0,30,0,1
101031403_710402,101031403,710402FB0,0002B,1,01,03,14,03,71,04,02,F,1,B,1,0002,B,0,30,1,1
101031403_710403,101031403,710403MB0,0002B,1,01,03,14,03,71,04,03,M,0,B,1,0002,B,0,30,0,1
101031403_710404,101031403,710404FB0,0002B,1,01,03,14,03,71,04,04,F,1,B,1,0002,B,0,30,1,1
101031403_710405,101031403,710405FB0,0002B,1,01,03,14,03,71,04,05,F,1,B,1,0002,B,0,30,1,1
101031502_711201,101031502,711201MA0,0002A,1,01,03,15,02,71,12,01,M,0,A,0,0002,A,0,20,0,1
101031502_711202,101031502,711202FA0,0002A,1,01,03,15,02,71,12,02,F,1,A,0,0002,A,0,20,0,1
101031502_711203,101031502,711203FA0,0002A,1,01,03,15,02,71,12,03,F,1,A,0,0002,A,0,20,0,1
101031502_711204,101031502,711204MA0,0002A,1,01,03,15,02,71,12,04,M,0,A,0,0002,A,0,20,0,1
101031502_711205,101031502,711205MA0,0002A,1,01,03,15,02,71,12,05,M,0,A,0,0002,A,0,20,0,1
101031601_711001,101031601,711001MA0,0002A,1,01,03,16,01,71,10,01,M,0,A,0,0002,A,0,20,0,1
101031601_711002,101031601,711002FA0,0002A,1,01,03,16,01,71,10,02,F,1,A,0,0002,A,0,20,1,1
