folio,hog_num_personas_o98,jefe_edad_o98,hog_num_young_o98,hog_mean_sick_o98,hog_num_schoolage_o98,hog_mean_missed_o98,hog_num_personas_n99,jefe_edad_n99,hog_num_young_n99,hog_mean_sick_n99,hog_num_schoolage_n99,hog_mean_missed_n99,hog_income_o98,jefe_ag_worker_o98,jefe_dialect_o98,jefe_nivel_esc_o98,jefe_grado_esc_o98,jefe_ms_o98,jefe_hs_o98,hog_gasto_o98,hog_gasto_n99,hog_grado_pobreza,hog_indice_pobreza,hog_contba,hog_treatment
229770,9,70,3,1.3333333333333333,3,0,9,43,2,0,4,0,300,TRUE,2,2,1,FALSE,FALSE,300,350,5,0.3498,1,TRUE
229778,7,48,2,2.5,2,1,7,49,2,6,2,0,150,TRUE,2,2,1,FALSE,FALSE,150,300,5,0.3498,1,TRUE
229779,8,47,1,2,5,0,6,39,1,3,3,0.6666666666666666,200,TRUE,2,2,6,FALSE,FALSE,200,150,5,0.3498,1,TRUE
229784,6,28,3,0,2,1.5,7,28,3,0.6666666666666666,2,1.5,100,TRUE,2,2,5,FALSE,FALSE,100,150,5,0.3498,1,TRUE
229787,8,36,2,0,4,0.5,9,36,2,6,4,0,200,TRUE,2,2,5,FALSE,FALSE,200,250,5,0.3498,1,TRUE
229799,9,46,2,1.5,4,0,9,47,1,0,4,1.75,70,TRUE,2,2,4,FALSE,FALSE,70,300,5,0.3498,1,TRUE
229893,7,29,2,1.5,3,0,7,30,2,0,3,0,150,TRUE,2,1,1,FALSE,FALSE,150,170,5,1.92878,1,TRUE
229895,5,44,1,2,1,0,5,46,1,0,1,0,250,FALSE,2,2,2,FALSE,FALSE,250,200,5,1.92878,1,TRUE
229967,8,34,2,0,4,0.5,8,35,2,0,4,0.25,100,TRUE,2,2,3,FALSE,FALSE,100,250,5,1.92878,1,TRUE
230114,7,33,3,1,4,0,7,33,1,0,4,0,200,FALSE,2,2,6,FALSE,FALSE,200,240,5,0.34717,1,TRUE
230125,7,38,1,0,3,0.6666666666666666,7,40,1,0,2,0,120,FALSE,2,2,1,FALSE,FALSE,120,200,5,0.34717,1,TRUE
230132,5,32,2,0,1,2,5,34,2,0,1,0,999,FALSE,2,1,1,FALSE,FALSE,9888,250,5,0.34717,1,TRUE
230133,4,28,1,4,1,0,4,28,1,0,1,0,180,FALSE,2,2,1,FALSE,FALSE,180,300,5,0.34717,1,TRUE
230134,7,32,1,2,4,0,7,33,1,0,4,0,100,TRUE,2,3,1,TRUE,FALSE,100,250,5,0.34717,1,TRUE
