resp_id,urban_rural,region,ethnicity,vote
GHA0678,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0682,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0683,Urban,Western,Ewe_Ga,National Democratic Congress (NDC)
GHA0685,Urban,Western North,Akan,National Democratic Congress (NDC)
GHA0691,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0698,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0714,Urban,Eastern,Akan,New Patriotic Party (NPP)
GHA0727,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0733,Urban,Eastern,Akan,New Patriotic Party (NPP)
GHA0736,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0737,Rural,Central,Akan,National Democratic Congress (NDC)
GHA0746,Urban,Eastern,Ewe_Ga,National Democratic Congress (NDC)
GHA0747,Urban,Ashanti,Akan,National Democratic Congress (NDC)
GHA0753,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0754,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0755,Rural,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0763,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA0767,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0769,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0772,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0776,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0778,Urban,Greater Accra,Ewe_Ga,New Patriotic Party (NPP)
GHA0789,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0795,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0796,Rural,Central,Akan,National Democratic Congress (NDC)
GHA0798,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0799,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0801,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0803,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0804,Rural,Western,Akan,New Patriotic Party (NPP)
GHA0805,Rural,Western,Akan,National Democratic Congress (NDC)
GHA0806,Rural,Western,Akan,National Democratic Congress (NDC)
GHA0815,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0819,Rural,Western,Akan,New Patriotic Party (NPP)
GHA0821,Rural,Western,Akan,New Patriotic Party (NPP)
GHA0828,Urban,Central,Akan,New Patriotic Party (NPP)
GHA0832,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0834,Urban,Central,Akan,National Democratic Congress (NDC)
