id8102,year,poor_support,mid_support,rich_support,question_text,policy_change
543,1988,0.3282002210617065,0.2257995009422302,0.2549901008605957,"Now let me ask you about some specific tax increases that some people feel are necessary to balance the federal budget and end deficit spending. In each case, the Congress would pass a tax increase that would make sure none of the money raised from added taxes would be used for additional spending. Instead, all of the new tax money would have to be used to reduce the federal deficit. This tax would be in effect for only three years. If (READ EACH ITEM) combined with spending reductions would eliminate the federal deficit in 3 years, would you favor or oppose that tax? Item: A 10% surcharge on federal income taxes",0
545,1988,0.4961965084075928,0.4727064371109009,0.5274189710617065,"Now let me ask you about some specific tax increases that some people feel are necessary to balance the federal budget and end deficit spending. In each case, the Congress would pass a tax increase that would make sure none of the money raised from added taxes would be used for additional spending. Instead, all of the new tax money would have to be used to reduce the federal deficit. This tax would be in effect for only three years. If (READ EACH ITEM) combined with spending reductions would eliminate the federal deficit in 3 years, would you favor or oppose that tax? Item: A national sales tax",0
546,1988,0.5498361587524414,0.6810184717178345,0.6999232172966003,"Now let me ask you about some specific tax increases that some people feel are necessary to balance the federal budget and end deficit spending. In each case, the Congress would pass a tax increase that would make sure none of the money raised from added taxes would be used for additional spending. Instead, all of the new tax money would have to be used to reduce the federal deficit. This tax would be in effect for only three years. If (READ EACH ITEM) combined with spending reductions would eliminate the federal deficit in 3 years, would you favor or oppose that tax? Item: A (additional) tax on imported products from abroad",0
548,1988,0.4303725361824035,0.4197354316711426,0.5426977872848511,"Now let me ask you about some specific tax increases that some people feel are necessary to balance the federal budget and end deficit spending. In each case, the Congress would pass a tax increase that would make sure none of the money raised from added taxes would be used for additional spending. Instead, all of the new tax money would have to be used to reduce the federal deficit. This tax would be in effect for only three years. If (READ EACH ITEM) combined with spending reductions would eliminate the federal deficit in 3 years, would you favor or oppose that tax? Item: A (additional) tax on each gallon of gasoline",1
549,1988,0.7075437903404236,0.7325371503829956,0.6678272485733032,"Now let me ask you about some specific tax increases that some people feel are necessary to balance the federal budget and end deficit spending. In each case, the Congress would pass a tax increase that would make sure none of the money raised from added taxes would be used for additional spending. Instead, all of the new tax money would have to be used to reduce the federal deficit. This tax would be in effect for only three years. If (READ EACH ITEM) combined with spending reductions would eliminate the federal deficit in 3 years, would you favor or oppose that tax? Item: A raise in the tax on corporations from 34% to 38%",0
550,1988,0.5745957493782043,0.5562505722045898,0.6290867328643799,"Now let me ask you about some specific tax increases that some people feel are necessary to balance the federal budget and end deficit spending. In each case, the Congress would pass a tax increase that would make sure none of the money raised from added taxes would be used for additional spending. Instead, all of the new tax money would have to be used to reduce the federal deficit. This tax would be in effect for only three years. If (READ EACH ITEM) combined with spending reductions would eliminate the federal deficit in 3 years, would you favor or oppose that tax? Item: An oil imports tax",0
551,1988,0.7789834141731262,0.7904012799263,0.6090661287307739,"Recently, several alternative programs have been put forth to help families in America cope with child care costs and burdens.  Would you favor or oppose (READ EACH ITEM)? Item: The program proposed by the Democrats in Congress, in which direct financial assistance is given to families, who earn below the state median income, to pay for child care services for children up to age 15. This act would also provide funding to upgrade salaries and provide training for child care workers, and make money available for low cost loans to upgrade child care facilities so that they’ll be in compliance with licensing requirements",1
552,1988,0.7791532278060913,0.804947555065155,0.7406958937644958,"Recently, several alternative programs have been put forth to help families in America cope with child care costs and burdens.  Would you favor or oppose (READ EACH ITEM)? Item: The program proposed by President Elect Bush, in which families with children under 4 would receive tax credits up to $1,000, with the amount of credit received decreasing as the family’s income goes up. Poor families who pay little or no tax would receive refundable credit for child care expenses",1
566,1989,0.3538509607315063,0.4521088004112243,0.4704414010047912,"If it came to it, would you favor having all federal elections financed out of public funds, with strictly enforced limits on how much each candidate for President, U.S. Senator, or Congressman could spend, or would you oppose using public funds for this purpose?",0
567,1989,0.9618291854858398,0.9594081044197084,0.9704166650772096,Do you favor or oppose (READ EACH ITEM): Item: Stronger laws to keep industrial pollution from factories and power plants to a minimum,1
578,1990,0.4895743131637573,0.3939431309700012,0.3635483980178833,"Would you favor the government requiring a national work identification card for all working Americans, both citizens and noncitizens. Supporters believe this would help to identify illegal aliens. Opponents see this as a dangerous threat to privacy. Would you favor or oppose such a requirement?",0
584,1990,0.6231831312179565,0.7238928079605103,0.7573675513267517,"The U.S. Senate is going to consider a bill which would put limits on how much a member of the House or Senate can spend in an election. The limits would vary by the size of the state and the number of voters involved. Let me ask you if you favor or oppose some of the key provisions of the new bill Item: A candidate who stays within the new limits would get lower rates for TV ads, lower mailing rates, and some government subsidy if his opponent spends over the limit, while other candidates would have to say on all their ads that they are not complying with the limit",0
586,1990,0.7153078317642212,0.8598109483718872,0.9109041690826416,The U.S. Senate is going to consider a bill which would put limits on how much a member of the House or Senate can spend in an election. The limits would vary by the size of the state and the number of voters involved. Let me ask you if you favor or oppose some of the key provisions of the new bill Item: A ceiling cap on all political action committee (PAC) contributions a candidate takes,0
590,1990,0.7814464569091797,0.8794187903404236,0.9103001356124878,The U.S. Senate is going to consider a bill which would put limits on how much a member of the House or Senate can spend in an election. The limits would vary by the size of the state and the number of voters involved. Let me ask you if you favor or oppose some of the key provisions of the new bill Item: All political funds that go to state and national political parties and campaign committees that are not part of a candidate's campaign must be fully disclosed,0
